"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"103"	317.3169625	304.3600375	315.13375	307.3816875	309.9502	339.4686375	323.83305	283.37756875	318.46869375	347.646725	314.1515625	313.62704375	372.7811625	335.7130375	296.85024375	285.4098375
"104"	699.61185	809.2936875	598.59073125	863.73875625	444.13575	634.401425	706.36008125	810.9781125	981.854925	696.47869375	1189.19743125	759.85591875	891.29434375	1173.27261875	927.727825	689.37446875
"105"	2053.15375	2331.1266875	2193.5160625	2100.3746875	2369.4858125	2519.1353125	1934.4115625	2209.24	2048.619375	2225.63825	2105.3904375	2338.5269375	2253.2248125	2225.63825	2233.6755625	2037.5935625
"106"	3464.02075	3262.2125	3224.9923125	2750.467625	3586.2353125	3348.645125	3134.356375	2474.603	2734.3450625	2843.6578125	2882.9896875	2981.3320625	3625.9915	3262.2125	2793.161875	2484.5348125
"107"	247.22365625	265.48255	260.62513125	261.9812125	232.2937625	254.45054375	274.48523125	268.901075	243.1642875	233.599125	302.3472375	300.39123125	252.52210625	260.87601875	278.33121875	228.6005875
"108"	1232.38149375	1348.916975	970.3636	1109.2826875	852.719575	1232.38149375	1431.994425	1177.35339375	1165.66404375	1081.282075	1301.0963875	1189.19743125	1439.96575	1320.5677	1163.1687625	1029.00835625
"109"	125.86811875	112.03936125	125.9382875	135.96715	121.033623125	122.6146825	108.67693375	124.069125	121.033623125	130.42513125	110.63383	125.36544375	120.606836875	129.9781625	117.147180625	114.832383125
"110"	53174.1425	53174.1425	53174.1425	53174.1425	55942.649375	55942.649375	53174.1425	51519.205625	55942.649375	49754.829375	54397.6375	48310.31375	54397.6375	54397.6375	51519.205625	54397.6375
"111"	480.2715625	496.9808	400.58834375	519.65955625	329.28325625	394.42971875	411.54105625	453.6785	492.75339375	429.3536875	479.4712875	436.4222375	516.7852	478.1429	554.10894375	409.34275
"112"	189.06831875	265.85186875	307.3816875	385.60971875	393.43023125	188.4364375	264.69341875	447.13568125	413.1182625	425.26806875	187.83565625	185.1396875	158.0949875	191.9293375	569.43401875	507.76656875
"113"	912.23774375	850.98515	857.29135	753.195825	1046.970125	822.3869875	872.633525	696.47869375	796.9144	883.9043375	671.5211625	765.8296875	883.9043375	704.816775	752.13550625	822.3869875
"114"	286.18516875	270.4662625	356.91955625	292.10323125	216.38405625	246.7584875	284.1581625	304.7898625	248.796	290.6526	242.259	285.4098375	197.9688	261.64070625	280.855175	292.10323125
"115"	2512.9405625	2203.30025	2734.3450625	2699.411375	3147.6899375	2580.884875	2512.9405625	2588.16325	2770.384	2690.6575625	2233.6755625	2503.2494375	2850.765625	1939.0211875	2616.7776875	2651.41075
"116"	1306.33195625	1154.1907	1021.95065	1036.2057125	1090.33608125	1407.3935625	1225.3508625	1297.11478125	1470.5946875	1369.6787875	1320.5677	1516.5808125	1558.1713125	1268.22345625	1273.19681875	1662.6488125
"117"	674.9793375	687.66148125	727.28054375	528.8764125	743.5878375	743.5878375	730.35885	566.4806125	537.01045	738.16189375	746.5555	732.0033375	724.049425	735.35188125	680.46601875	618.06555625
"118"	279.25934375	267.2860375	322.18970625	239.74959375	319.100125	281.50890625	256.12508125	234.50075	226.35345625	269.91001875	235.3010375	229.43806875	245.0537	258.7357	247.22365625	240.4471375
"119"	111.654035	111.18756875	96.92931625	135.6384875	93.452655	96.86295125	98.1849575	144.24366875	175.48856875	95.95691	151.0258125	112.22883	99.17487375	140.17050625	144.11445	101.076971875
"120"	519.65955625	447.13568125	638.68381875	777.6327125	624.88129375	531.5510125	498.8462125	1139.4738625	673.747	631.472125	542.92555625	553.04888125	553.04888125	499.85938125	750.2024875	666.357975
"121"	1163.1687625	1285.628275	1136.0116625	1045.036275	966.29824375	1255.75878125	1229.2112375	1088.75620625	1081.282075	1070.3381625	1085.1266	1420.3712875	1343.3800125	1122.72479375	1007.56609375	1136.0116625
"122"	283.09960625	259.79968125	274.48523125	271.14005	250.6985875	306.1110125	296.41846875	260.62513125	323.41266875	307.3816875	292.40730625	217.28535	355.1117625	296.41846875	317.0709625	307.3816875
"123"	465.28708125	479.4712875	390.3408625	453.6785	469.4392375	431.2302875	455.2644875	429.3536875	430.6895	438.839125	480.2715625	507.76656875	492.1765875	515.57546875	461.21826875	417.81045625
